,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Visanthe Shiancoe,53.00,0,0,0,0,0,0,0,0,0,0,36,409,3,0,0,0
Brian Hartline,52.00,0,0,0,0,0,0,1,9,0,0,35,549,1,0,0,0
Bernard Scott,52.00,1,0,0,0,0,0,112,380,3,0,13,38,0,0,0,0
Joe Webb,52.00,63,34,376,3,2,0,22,154,2,0,1,9,0,0,1,0
Ricky Williams,52.00,0,0,0,0,0,0,108,444,2,0,13,83,0,0,2,0
Danny Woodhead,52.00,0,0,0,0,0,0,77,351,1,2,18,157,0,0,0,0
Danario Alexander,51.00,0,0,0,0,0,0,0,0,0,0,26,431,2,0,0,0
Austin Collie,51.00,0,0,0,0,0,0,0,0,0,0,54,514,1,0,0,0
Harry Douglas,51.00,0,0,0,0,0,0,1,3,0,0,39,498,1,0,0,0
Ben Obomanu,51.00,0,0,0,0,0,0,1,13,0,0,37,436,2,0,0,0
Dennis Pitta,51.00,0,0,0,0,0,0,0,0,0,0,40,405,3,0,0,0
Jason Hill,50.00,0,0,0,0,0,0,0,0,0,0,25,367,3,0,0,0
Golden Tate,50.00,0,0,0,0,0,0,5,14,0,0,35,382,3,0,0,0
Kevin Boss,49.00,0,0,0,0,0,0,0,0,0,0,28,368,3,0,0,0
Evan Moore,49.00,0,0,0,0,0,0,0,0,0,0,34,324,4,0,0,0
T.J. Yates,49.00,134,82,949,3,3,0,14,57,0,0,0,0,0,0,3,0
Devin Aromashodu,48.00,0,0,0,0,0,0,0,0,0,0,26,468,1,0,0,0
Kahlil Bell,48.00,0,0,0,0,0,0,79,337,0,0,19,133,1,0,1,0
Kellen Davis,48.00,0,0,0,0,0,0,0,0,0,0,18,206,5,0,0,0
Tim Hightower,48.00,0,0,0,0,0,0,84,321,1,0,10,78,1,0,0,0
Joseph Addai,47.00,0,0,0,0,0,0,118,433,1,0,15,93,0,0,0,0
Legedu Naanee,47.00,1,1,27,0,0,0,0,0,0,0,44,467,1,0,0,0
Chris Ogbonnaya,47.00,0,0,0,0,0,0,76,340,1,0,23,165,0,0,1,0
Benjamin Watson,47.00,0,0,0,0,0,0,0,0,0,0,37,410,2,0,0,0
Vince Young,47.00,114,66,866,4,9,0,18,79,0,0,0,0,0,0,0,0
Andre Caldwell,46.00,0,0,0,0,0,0,0,0,0,0,37,317,3,0,0,0
Brandon Gibson,46.00,0,0,0,0,0,0,2,16,0,0,36,431,1,0,0,0
Marcel Reece,46.00,0,0,0,0,0,0,17,112,0,0,27,301,2,0,1,0
Lavelle Hawkins,45.00,0,0,0,0,0,0,0,0,0,0,47,470,1,0,0,0
Stevan Ridley,45.00,0,0,0,0,0,0,87,441,1,0,3,13,0,0,0,0
Kenny Britt,44.00,0,0,0,0,0,0,0,0,0,0,17,289,3,0,1,0
Mohamed Massaquoi,44.00,0,0,0,0,0,0,0,0,0,0,31,384,2,0,0,0
Hines Ward,44.00,0,0,0,0,0,0,0,0,0,0,46,381,2,0,1,0
Thomas Jones,43.00,0,0,0,0,0,0,153,478,0,0,5,43,0,0,0,0
John Kuhn,43.00,0,0,0,0,0,0,30,78,4,0,15,77,2,0,0,0
LaRod Stephens-Howling,43.00,0,0,0,0,0,0,43,167,0,0,13,234,2,0,0,0
Mike Thomas,43.00,0,0,0,0,0,0,3,11,0,0,44,415,1,0,0,0
Dallas Clark,42.00,0,0,0,0,0,0,0,0,0,0,34,352,2,0,1,0
Carnell Williams,42.00,0,0,0,0,0,0,87,361,1,0,14,93,0,0,1,0
Vincent Brown,41.00,0,0,0,0,0,0,0,0,0,0,19,329,2,0,0,0
Delone Carter,41.00,0,0,0,0,0,0,101,377,2,0,5,18,0,0,3,0
Dane Sanzenbacher,41.00,0,0,0,0,0,0,1,-4,0,0,27,276,3,0,0,0
Kyle Williams,41.00,0,0,0,0,0,0,2,32,0,0,20,241,3,0,0,0
Devin Hester,40.00,0,0,0,0,0,0,1,-6,0,0,26,369,1,0,0,0
Chris Ivory,40.00,0,0,0,0,0,0,79,374,1,0,0,0,0,0,0,0
Jeff King,40.00,0,0,0,0,0,0,0,0,0,0,27,271,3,0,0,0
Earl Bennett,39.00,0,0,0,0,0,0,0,0,0,0,24,381,1,0,1,0
Kellen Clemens,39.00,91,48,546,2,1,0,6,37,1,0,0,0,0,0,0,0
Marcedes Lewis,39.00,0,0,0,0,0,0,0,0,0,0,39,460,0,0,0,0
Donte' Stallworth,39.00,0,0,0,0,0,0,2,1,0,0,22,309,2,0,0,0
Charles Clay,38.00,0,0,0,0,0,0,0,0,0,0,16,233,3,0,0,0
Jacquizz Rodgers,38.00,0,0,0,0,0,0,57,205,1,0,21,188,1,0,1,0
Emmanuel Sanders,38.00,1,1,15,0,0,0,0,0,0,0,22,288,2,0,0,0
Daniel Fells,37.00,0,0,0,0,0,0,0,0,0,0,19,256,3,0,1,0
Javon Ringer,37.00,0,0,0,0,0,0,59,185,1,0,28,187,0,0,1,0
Kyle Rudolph,37.00,0,0,0,0,0,0,0,0,0,0,26,249,3,0,0,0
Evan Royster,36.00,0,0,0,0,0,0,56,328,0,0,9,68,0,0,0,0
Brad Smith,36.00,1,0,0,0,1,0,20,87,1,0,23,240,1,0,0,0
Seneca Wallace,36.00,107,55,567,2,2,0,7,70,0,0,1,21,0,0,1,0
Randall Cobb,35.00,1,0,0,0,0,0,2,5,0,0,25,375,1,0,3,0
Chaz Schilens,35.00,0,0,0,0,0,0,0,0,0,0,23,271,2,0,0,0
Delanie Walker,35.00,0,0,0,0,0,0,3,5,0,0,19,198,3,0,0,0
Riley Cooper,34.00,0,0,0,0,0,0,0,0,0,0,16,315,1,0,0,0
Jerricho Cotchery,33.00,0,0,0,0,0,0,1,3,0,0,16,237,2,0,0,0
Jacoby Ford,33.00,0,0,0,0,0,0,4,31,0,0,19,279,1,0,1,0
Jeremy Kerley,33.00,1,1,41,0,0,0,5,28,0,0,29,314,1,0,1,0
Louis Murphy,33.00,0,0,0,0,0,0,6,69,1,0,15,241,0,0,0,0
Earnest Graham,32.00,0,0,0,0,0,0,37,206,0,0,26,163,0,0,0,0
Caleb Hanie,32.00,102,51,613,3,9,0,13,98,0,0,0,0,0,0,0,0
Montario Hardesty,31.00,0,0,0,0,0,0,88,266,0,0,14,122,0,0,0,0
Todd Heap,31.00,0,0,0,0,0,0,0,0,0,0,24,283,1,0,0,0
James Casey,30.00,0,0,0,0,0,0,1,11,0,0,18,260,1,0,0,0
Kregg Lumpkin,30.00,0,0,0,0,0,0,31,105,0,0,41,291,0,0,0,0
Jason Snelling,30.00,0,0,0,0,0,0,44,151,0,0,26,179,1,0,0,0
Keiland Williams,30.00,0,0,0,0,0,0,58,195,2,0,8,62,0,0,1,0
Jarett Dillard,29.00,0,0,0,0,0,0,0,0,0,0,29,292,1,0,1,0
Chad Johnson,29.00,0,0,0,0,0,0,0,0,0,0,15,276,1,0,0,0
Lance Kendricks,28.00,0,0,0,0,0,0,1,-8,0,0,28,352,0,0,1,0
Knowshon Moreno,28.00,0,0,0,0,0,0,37,179,0,0,11,101,1,0,1,0
Jordan Norwood,28.00,0,0,0,0,0,0,0,0,0,0,23,268,1,0,0,0
Naaman Roosevelt,28.00,0,0,0,0,0,0,0,0,0,0,16,257,1,0,0,0
D.J. Ware,28.00,0,0,0,0,0,0,46,163,0,2,27,170,0,0,0,0
Matt Willis,28.00,0,0,0,0,0,0,0,0,0,0,18,267,1,0,0,0
Jed Collins,27.00,0,0,0,0,0,0,4,4,2,0,11,50,2,0,0,0
Patrick Crayton,27.00,0,0,0,0,0,0,0,0,0,0,23,248,1,0,0,0
Derek Hagan,27.00,0,0,0,0,0,0,0,0,0,0,24,252,1,0,0,0
Donald Jones,27.00,0,0,0,0,0,0,1,2,0,0,23,231,1,0,0,0
Josh McCown,27.00,55,35,414,2,4,0,12,68,0,1,0,0,0,0,0,0
Tyler Palko,27.00,134,80,796,2,7,0,5,15,0,0,0,0,0,0,1,0
Mike Williams,27.00,0,0,0,0,0,0,0,0,0,0,18,236,1,0,0,0
Jonathan Baldwin,26.00,0,0,0,0,0,0,0,0,0,0,21,254,1,0,0,0
Justin Forsett,25.00,0,0,0,0,0,0,46,145,1,0,23,128,0,0,0,0
Josh Morgan,25.00,0,0,0,0,0,0,0,0,0,0,15,220,1,0,0,0
Derrick Ward,25.00,0,0,0,0,0,0,45,154,2,0,0,0,0,0,0,0
Leon Washington,25.00,0,0,0,0,0,0,53,248,1,0,10,48,0,0,0,0
Kerry Collins,24.00,98,48,481,2,1,0,2,-1,0,0,0,0,0,0,3,0
Leonard Pope,24.00,0,0,0,0,0,0,0,0,0,0,24,247,1,0,0,0
Ryan Torain,24.00,0,0,0,0,0,0,59,200,1,0,6,23,0,0,0,0
Chastin West,24.00,0,0,0,0,0,0,0,0,0,0,13,163,2,0,0,0
Tashard Choice,23.00,0,0,0,0,0,0,57,152,1,0,19,124,0,0,2,0
Ted Ginn Jr.,23.00,0,0,0,0,0,0,8,68,0,0,19,220,0,0,0,0
Mewelde Moore,22.00,0,0,0,0,0,0,22,157,0,0,11,104,1,0,2,0
Greg Salas,22.00,0,0,0,0,0,0,1,8,0,0,27,264,0,0,1,0
Anthony Armstrong,21.00,0,0,0,0,0,0,2,19,0,0,7,103,2,0,0,0
Andrew Hawkins,21.00,0,0,0,0,0,0,5,25,0,0,23,263,0,0,0,0
Randy McMichael,21.00,0,0,0,0,0,0,0,0,0,0,30,271,0,0,0,0
Austin Pettis,21.00,0,0,0,0,0,0,1,-6,0,0,27,256,0,0,0,0
Eddie Royal,21.00,0,0,0,0,0,0,7,48,0,0,19,155,1,0,0,0
