,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Eddie Royal,9,77.00,0,0,0,0,0,0,6,61,0,0,59,627,3,0,2,0
Kevin Boss,8,76.00,0,0,0,0,0,0,0,0,0,0,35,531,5,0,1,0
Lee Evans,6,76.00,0,0,0,0,0,0,0,0,0,0,37,578,4,0,1,0
Josh Morgan,9,76.00,0,0,0,0,0,0,2,17,0,0,44,698,2,0,1,0
Darren Sproles,10,76.00,0,0,0,0,0,0,50,267,0,0,59,520,2,0,3,0
Donald Driver,10,75.00,0,0,0,0,0,0,0,0,0,0,51,565,4,0,1,0
Kevin Kolb,8,75.00,189,115,"1,197",7,7,0,15,65,0,0,0,0,0,0,3,0
Maurice Morris,7,74.00,0,0,0,0,0,0,90,336,5,0,25,170,0,0,0,0
Keiland Williams,9,74.00,0,0,0,0,0,0,65,261,3,0,39,309,2,0,1,0
Jacoby Jones,7,73.00,0,0,0,0,0,0,2,7,0,0,51,562,3,1,0,0
Ben Obomanu,5,72.00,0,0,0,0,0,0,2,17,0,0,30,494,4,2,0,0
Donald Brown,7,71.00,0,0,0,0,0,0,129,497,2,0,20,205,0,0,0,0
Anthony Fasano,5,71.00,0,0,0,0,0,0,0,0,0,0,39,528,4,0,0,0
Willis McGahee,8,71.00,0,0,0,0,0,0,100,380,5,0,14,55,1,0,2,0
Jordan Shipley,6,71.00,0,0,0,0,0,0,0,0,0,0,52,600,3,0,0,0
Brian Westbrook,9,71.00,0,0,0,0,0,0,77,340,4,0,16,150,1,0,0,0
Brandon Gibson,9,70.00,0,0,0,0,0,0,3,28,0,0,53,620,2,0,0,0
Brent Celek,8,69.00,0,0,0,0,0,0,0,0,0,0,42,511,4,0,0,0
Joel Dreessen,7,69.00,0,0,0,0,0,0,0,0,0,0,36,518,4,0,1,0
Earl Bennett,8,68.00,0,0,0,0,0,0,2,9,0,0,46,561,3,0,0,0
Tony Moeaki,4,68.00,0,0,0,0,0,0,0,0,0,0,47,556,3,0,0,0
Louis Murphy,10,68.00,0,0,0,0,0,0,1,43,0,0,41,609,2,0,1,0
Steve Smith,8,68.00,0,0,0,0,0,0,0,0,0,0,48,529,3,0,0,0
Rex Grossman,9,67.00,133,74,884,7,4,2,3,6,0,0,0,0,0,0,4,0
Devin Hester,8,66.00,0,0,0,0,0,0,7,30,0,0,40,475,4,0,0,0
David Gettis,6,65.00,0,0,0,0,0,0,3,2,0,0,37,508,3,0,0,0
Jermaine Gresham,6,65.00,0,0,0,0,0,0,0,0,0,0,52,471,4,1,1,0
Brian Hartline,5,65.00,0,0,0,0,0,0,2,27,0,0,43,615,1,0,1,0
John Kuhn,10,65.00,0,0,0,0,0,0,84,281,4,0,15,97,2,0,0,0
Randy Moss,9,64.00,0,0,0,0,0,0,0,0,0,0,28,393,5,0,0,0
Matthew Stafford,7,62.00,96,57,535,6,1,1,4,11,1,0,0,0,0,0,1,0
Drew Stanton,7,62.00,119,69,780,4,3,0,18,113,1,0,0,0,0,0,1,0
Blair White,7,62.00,0,0,0,0,0,0,0,0,0,0,36,355,5,0,0,0
Jimmy Graham,10,61.00,0,0,0,0,0,0,1,3,0,0,31,356,5,0,0,0
Mohamed Massaquoi,8,61.00,1,1,29,1,0,0,1,-3,0,0,36,483,2,0,1,0
Jordy Nelson,10,61.00,0,0,0,0,0,0,0,0,0,0,45,582,2,0,3,0
Greg Olsen,8,61.00,0,0,0,0,0,0,0,0,0,0,41,404,5,0,1,0
Jason Avant,8,60.00,0,0,0,0,0,0,0,0,0,0,51,573,1,1,0,0
Brandon Tate,5,60.00,0,0,0,0,0,0,5,62,0,0,24,432,3,0,1,0
Steve Smith,6,59.00,0,0,0,0,0,0,1,9,0,0,46,554,2,0,2,0
Jimmy Clausen,6,58.00,299,157,"1,558",3,9,0,23,57,0,0,0,0,0,0,2,0
Bruce Gradkowski,10,58.00,157,83,"1,059",5,7,0,12,41,0,0,0,0,0,0,1,0
Deon Butler,5,57.00,0,0,0,0,0,0,2,6,0,0,36,385,4,0,0,0
Michael Jenkins,8,57.00,0,0,0,0,0,0,0,0,0,0,41,505,2,0,0,0
Heath Miller,5,57.00,0,0,0,0,0,0,0,0,0,0,42,512,2,0,1,0
Marcel Reece,10,57.00,0,0,0,0,0,0,30,122,1,0,25,333,3,0,1,0
Visanthe Shiancoe,4,57.00,0,0,0,0,0,0,0,0,0,0,47,530,2,0,0,0
Marion Barber,4,56.00,1,0,0,0,0,0,113,374,4,0,11,49,0,0,0,0
Patrick Crayton,4,54.00,1,0,0,0,0,0,0,0,0,0,28,514,1,0,0,0
Brandon LaFell,6,54.00,1,0,0,0,0,0,1,60,0,0,38,468,1,0,0,0
Pierre Thomas,10,54.00,0,0,0,0,0,0,83,269,2,0,29,201,0,0,0,0
Derrick Ward,4,54.00,0,0,0,0,0,0,50,315,4,0,7,61,0,0,0,0
Correll Buckhalter,9,53.00,0,0,0,0,0,0,59,147,2,0,28,240,2,0,1,0
Owen Daniels,7,53.00,0,0,0,0,0,0,0,0,0,0,38,471,2,0,0,0
Jeremy Shockey,10,53.00,0,0,0,0,0,0,0,0,0,0,41,408,3,0,0,0
Dallas Clark,7,51.00,0,0,0,0,0,0,0,0,0,0,37,347,3,0,0,0
T.J. Houshmandzadeh,8,51.00,0,0,0,0,0,0,0,0,0,0,30,398,3,0,0,0
Bo Scaife,9,51.00,0,0,0,0,0,0,0,0,0,0,36,318,4,0,1,0
Beanie Wells,6,51.00,0,0,0,0,0,0,116,397,2,0,5,74,0,0,0,0
Chester Taylor,8,50.00,0,0,0,0,0,0,112,267,3,0,20,139,0,0,0,0
David Nelson,6,49.00,0,0,0,0,0,0,0,0,0,0,31,353,3,0,0,0
Roscoe Parrish,6,49.00,0,0,0,0,0,0,3,23,0,0,33,400,2,0,0,0
Javarris James,5,48.00,0,0,0,0,0,0,46,112,6,0,9,63,0,0,1,0
Jerricho Cotchery,7,47.00,0,0,0,0,0,0,4,-3,0,0,41,433,2,0,0,0
Devery Henderson,10,47.00,0,0,0,0,0,0,3,8,0,0,34,464,1,0,0,0
Arrelious Benn,4,46.00,0,0,0,0,0,0,6,35,0,0,25,395,2,0,0,0
Fred Davis,9,46.00,0,0,0,0,0,0,0,0,0,0,21,316,3,0,0,0
Seneca Wallace,8,46.00,101,64,694,4,2,0,7,9,0,0,1,9,0,0,0,0
Tashard Choice,4,45.00,0,0,0,0,0,0,66,243,3,0,17,109,0,0,1,0
Brian Robiskie,8,45.00,0,0,0,0,0,0,0,0,0,0,29,310,3,0,0,0
Daniel Fells,9,43.00,0,0,0,0,0,0,0,0,0,0,41,391,2,0,0,0
Darrius Heyward-Bey,10,43.00,0,0,0,0,0,0,4,48,0,0,26,366,1,0,1,0
Emmanuel Sanders,5,43.00,0,0,0,0,0,0,0,0,0,0,28,376,2,0,1,0
Jerome Simpson,6,43.00,0,0,0,0,0,0,1,2,0,0,20,277,3,0,2,0
DeAngelo Williams,6,43.00,0,0,0,0,0,0,87,361,1,0,11,61,0,0,1,0
Toby Gerhart,4,42.00,0,0,0,0,0,0,81,322,1,0,21,167,0,0,3,0
Vincent Jackson,10,42.00,0,0,0,0,0,0,1,14,0,0,14,248,3,0,0,0
Matt Moore,6,41.00,143,79,857,5,10,0,5,25,0,0,0,0,0,0,2,0
Mark Clayton,8,40.00,0,0,0,0,0,0,1,6,0,0,23,306,2,0,0,0
Legedu Naanee,10,40.00,0,0,0,0,0,0,3,-2,0,0,23,371,1,1,1,0
Laurent Robinson,9,40.00,0,0,0,0,0,0,2,-14,0,0,34,344,2,0,0,0
Jerome Harrison,8,39.00,0,0,0,0,0,0,71,330,1,0,12,85,0,0,1,0
Andre Roberts,6,39.00,0,0,0,0,0,0,0,0,0,0,24,307,2,0,1,0
Sidney Rice,4,38.00,0,0,0,0,0,0,0,0,0,0,17,280,2,0,0,0
Tony Scheffler,7,38.00,0,0,0,0,0,0,0,0,0,0,45,378,1,0,1,0
Brad Smith,7,38.00,3,2,6,1,0,0,38,299,1,0,4,44,0,0,1,0
C.J. Spiller,6,38.00,0,0,0,0,0,0,74,283,0,0,24,157,1,0,3,0
Charlie Whitehurst,5,38.00,99,57,507,2,3,2,20,43,1,0,0,0,0,0,0,0
Reggie Bush,10,37.00,0,0,0,0,0,0,36,150,0,0,34,208,1,0,1,0
Jared Cook,9,37.00,0,0,0,0,0,0,0,0,0,0,29,361,1,0,0,0
Clinton Portis,9,37.00,0,0,0,0,0,0,54,227,2,0,5,55,0,0,0,0
Seyi Ajirotutu,10,35.00,0,0,0,0,0,0,0,0,0,0,13,262,2,0,0,0
Ladell Betts,9,35.00,0,0,0,0,0,0,45,150,2,0,23,141,0,0,1,0
Earnest Graham,4,35.00,1,1,2,1,0,0,20,99,1,0,16,130,1,0,1,0
Bernard Scott,6,35.00,0,0,0,0,0,0,61,299,1,0,11,60,0,0,1,0
Danario Alexander,9,34.00,0,0,0,0,0,0,0,0,0,0,20,306,1,0,0,0
Joshua Cribbs,8,34.00,3,2,19,0,0,0,20,66,0,0,23,292,1,0,0,0
Jermichael Finley,10,34.00,0,0,0,0,0,0,0,0,0,0,21,301,1,0,0,0
Antwaan Randle El,5,34.00,2,2,42,2,0,0,1,2,0,0,22,253,0,0,0,0
Demaryius Thomas,9,34.00,0,0,0,0,0,0,2,1,0,0,22,283,2,0,2,0
Anthony Dixon,9,33.00,0,0,0,0,0,0,70,237,2,0,5,11,0,0,0,0
Isaac Redman,5,33.00,0,0,0,0,0,0,52,247,0,0,9,72,2,0,0,0
John Skelton,6,33.00,126,60,662,2,2,0,10,49,0,0,0,0,0,0,1,0
Chansi Stuckey,8,33.00,0,0,0,0,0,0,3,9,1,0,40,346,0,0,2,0
Joe Webb,4,33.00,89,54,477,0,3,0,18,120,2,0,0,0,0,0,0,0
John Carlson,5,32.00,0,0,0,0,0,0,0,0,0,0,31,318,1,0,0,0
Matt Flynn,10,32.00,66,40,433,3,2,0,9,26,0,0,0,0,0,0,1,0
Evan Moore,8,32.00,0,0,0,0,0,0,0,0,0,0,16,322,1,0,1,0
Micheal Spurlock,4,32.00,3,0,0,0,0,0,0,0,0,0,17,250,2,0,1,0
Early Doucet,6,31.00,0,0,0,0,0,0,2,5,0,0,26,291,1,0,0,0
Brian Finneran,8,31.00,0,0,0,0,0,0,0,0,0,0,19,166,3,0,0,0
Javon Ringer,9,31.00,0,0,0,0,0,0,51,239,2,0,7,44,0,0,0,0
Harry Douglas,8,30.00,0,0,0,0,0,0,2,-5,0,0,22,294,1,0,0,0
Brandon Stokley,5,30.00,0,0,0,0,0,0,0,0,0,0,31,354,0,0,0,0
David Thomas,10,30.00,0,0,0,0,0,0,0,0,0,0,30,219,2,0,0,0
Andre Caldwell,6,29.00,0,0,0,0,0,0,1,-2,0,0,25,345,0,0,1,0
Craig Davis,10,29.00,0,0,0,0,0,0,0,0,0,0,21,259,1,0,0,0
Jake Delhomme,8,29.00,149,93,872,2,7,0,8,-2,0,0,0,0,0,0,1,0
Justin Gage,9,29.00,0,0,0,0,0,0,0,0,0,0,20,266,1,0,0,0
Michael Hoomanawanui,9,29.00,0,0,0,0,0,0,0,0,0,0,13,146,3,0,0,0
Tarvaris Jackson,4,29.00,58,34,341,3,4,1,7,63,0,0,0,0,0,0,0,0
Randy McMichael,10,29.00,0,0,0,0,0,0,0,0,0,0,20,221,2,0,0,0
Jason Hill,9,28.00,0,0,0,0,0,0,0,0,0,0,11,248,1,0,0,0
Tyler Thigpen,5,28.00,62,33,435,2,2,0,13,73,0,0,0,0,0,0,0,0
Charlie Batch,5,27.00,49,29,352,3,3,0,7,30,0,0,0,0,0,0,0,0
Kenneth Darby,9,27.00,0,0,0,0,0,0,34,107,2,0,10,61,1,0,0,0
Derek Hagan,8,27.00,0,0,0,0,0,0,0,0,0,0,24,223,1,0,0,0
Stephen McGee,4,27.00,44,22,238,2,0,0,13,74,0,0,0,0,0,0,0,0
Dexter McCluster,4,26.00,0,0,0,0,0,0,18,71,0,0,21,209,1,0,1,0
Delanie Walker,9,26.00,0,0,0,0,0,0,3,18,0,0,29,331,0,0,1,0
Trent Edwards,9,25.00,101,55,521,2,5,0,14,58,0,0,0,0,0,0,0,0
Mewelde Moore,5,25.00,0,0,0,0,0,0,33,99,0,2,26,205,0,0,0,0
Andrew Quarless,10,25.00,0,0,0,0,0,0,0,0,0,0,21,238,1,0,1,0
Greg Camarillo,4,24.00,0,0,0,0,0,0,0,0,0,0,20,240,1,0,0,0
Mike Hart,7,24.00,0,0,0,0,0,0,43,185,1,0,6,25,0,0,0,0
Donald Jones,6,24.00,0,0,0,0,0,0,3,1,0,0,18,213,1,0,0,0
Billy Bajema,9,23.00,0,0,0,0,0,0,0,0,0,0,14,145,2,0,0,0
Chris Chambers,4,23.00,0,0,0,0,0,0,0,0,0,0,22,213,1,0,0,0
Donald Lee,10,22.00,0,0,0,0,0,0,0,0,0,0,11,73,3,0,1,0
